Submission ID,,,Title,Main Contact Firstname,Main Contact Lastname,Main Contact Affiliation,Keywords,Acceptance Status,Constraints,Present,Day,Stand,Island,Poster
113,113,"Core, IP",A RISC-V based accelerator for Post Quantum Cryptographic Primitives,Andrew,Wilson,Silicon Austria Labs GmbH,"Open-source hardware and open silicon;	Security and functional safety;	RISC-V ISA extensions;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Hardware/software co-design;	",Accept as poster,,1,Thursday 27th,A-11,A,11
114,114,Application,Accelerating BFS Algorithm on a RISCV-based SoC Design Framework,Aakarsh,Vinay,"Centre for Heterogeneous and Intelligent Processing Systems, PES University","Open-source hardware and open silicon;	Any other topic related to RISC-V and open hardware;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Hardware/software co-design;	RISC-V related educational activities;	High-performance computing",Reject,,,,,,
115,115,Security,Hardware/Software Runtime for GPSA Protection in RISC-V Embedded Cores,Louis,Savary,Inria,Security and functional safety;	Hardware/software co-design;	,Accept as poster,,1,Tuesday 25th,C-09,C,09
116,116,Safety,Hippomenes: An Experimental Implementation of the RISC-V RT Real-Time Extension,Per,Lindgren,LTU/TUNI,"Hardware/software co-design;	Open-source hardware and open silicon;	Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety;	Operating system and software ecosystem;	RISC-V ISA extensions;	Compilation and code optimization;	RISC-V related educational activities",Accept as poster,,1,Tuesday 25th,A-08,A,08
117,117,"Core, IP",Platform Orchestration with a RISC-V Tiny Controller,Marc,Grau,Barcelona Supercomputing Center (BSC),"Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety",Accept as poster,,1,Thursday 27th,C-09,C,09
118,118,"Methods, tools","Towards a Flexible, Fast and Accurate Software Performance Simulation Environment for RISC-V",Conrad,Foik,Technische Universität München,"Open EDA tools;	Embedded systems, IoT, edge computing;	Hardware/software co-design",Accept as poster,,1,Wednesday 26th,C-08,C,08
119,119,Safety,SafeTCo: A RISC-V Tiny Controller for Safety-Relevant SoC Management,Sergi,Alcaide,Barcelona Supercomputing Center (BSC),"Security and functional safety;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Automotive",Reject,,,,,,
120,120,Software,Propelling SystemVerilog into the Future: A leap Towards CIRCT Ecosystem Integration,Buyun,Xu,Terapines Ltd,Compilation and code optimization;	Open EDA tools,Accept as poster,,1,Wednesday 26th,C-15,C,15
121,121,Safety,SafeGantana: A Lockstep In-Order RISC-V Core,Sergi,Alcaide,Barcelona Supercomputing Center (BSC),"Automotive;	Security and functional safety;	Open-source hardware and open silicon;	Systems-on-Chip, including processor cores, accelerators, peripherals",Accept as poster,,1,Tuesday 25th,A-09,A,09
122,122,"Methods, tools",BLINDNAME: Achieving Competitive Performance with Open EDA Tools on an Open-Source Linux-Capable RISC-V SoC,Thomas,Benz,ETH Zurich,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Open-source hardware and open silicon;	Open EDA tools",Accept as poster,,1,Wednesday 26th,C-09,C,09
123,123,Application,POSTER: Enabling an OpenStack-based cloud on top of RISC-V hardware.,Aaron,Call,Barcleona Supercomputing Center,Cloud computing;	Open-source hardware and open silicon;	Any other topic related to RISC-V and open hardware;	,Accept as poster,,1,Wednesday 26th,D-05,D,05
124,124,Verification,uFV - Functional coverage on RISC-V microcode,Deepa,Palaniappan,AsFigo Technologies,RISC-V ISA extensions;	Verification,Accept as poster (industry),,1,Wednesday 26th,B-01,B,01
125,125,"Methods, tools",Creating Custom RISC-V Processors Using ASIP Design Tools: A Post-Quantum Cryptography Case Study,Gert,Goossens,Synopsys,"Hardware/software co-design;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Compilation and code optimization;	Security and functional safety;	RISC-V ISA extensions;	",Accept as poster (industry),,1,Wednesday 26th,C-10,C,10
126,126,Software,muRISCV-NN: Improving RISC-V Vector Extension Performance with a Kernel Library,Jefferson,Jones,Technical University of Munich,"RISC-V ISA extensions;	Compilation and code optimization;	Operating system and software ecosystem;	Embedded systems, IoT, edge computing",Accept as poster,,1,Thursday 27th,B-15,B,15
127,127,"Core, IP",Explorative surveying RISC-V open hardware and specifications for mixed-critical systems,Holger,Blasum,SYSGO GmbH,"Security and functional safety;	Embedded systems, IoT, edge computing;	Hardware/software co-design;	Operating system and software ecosystem;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Open-source hardware and open silicon",Accept as poster,,1,Wednesday 26th,B-08,B,08
128,128,"Core, IP","Design, Implementation and Evaluation of the SVNAPOT Extension on a RISC-V Processor",Nikolaos-Charalampos,Papadopoulos,"School of ECE, NTUA",Operating system and software ecosystem;	RISC-V ISA extensions;	Hardware/software co-design;	Open-source hardware and open silicon,Accept as poster,,1,Thursday 27th,A-12,A,12
129,129,Security,Sonata: low-cost open-source CHERI hardware for embedded systems,Marno,van der Maas,lowRISC,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety;	Hardware/software co-design;	Embedded systems, IoT, edge computing;	Open-source hardware and open silicon;	RISC-V ISA extensions;	",Accept as poster (industry),,1,Tuesday 25th,C-10,C,10
130,130,Verification,Bounded Load/Stores in Grammar-based Code Generation for Testing the RISC-V Vector Extension,Manfred,Schlaegl,Johannes Kepler University,Verification;	RISC-V ISA extensions,Accept as poster,,1,Wednesday 26th,B-02,B,02
131,131,"Core, IP",VRP: a Variable Precision Accelerator for Scientific Computing Applications,Andrea,Bocco,"Univ. Grenoble Alpes, CEA, List F-38000 Grenoble, France",High-performance computing;	RISC-V ISA extensions;	,Accept as poster,,1,Thursday 27th,A-13,A,13
132,132,Application,Wearable Biomarker Processing using Speckle Plethysmography based on an Embedded RISC-V ASIP,Stephan,Nolting,Fraunhofer IMS,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	RISC-V ISA extensions;	",Accept as poster,,1,Thursday 27th,C-13,C,13
133,133,Software,RISC-V open source compiler performance: Is it good enough?,Jeremy,Bennett,Embecosm,Compilation and code optimization;	High-performance computing;	,Accept as poster (industry),,1,Wednesday 26th,D-03,D,03
134,134,Software,Towards Coverage Analysis for Translating Instruction Set Simulators,Karsten,Emrich,Technical University of Munich,Verification;	Hardware/software co-design;	Compilation and code optimization;	Open EDA tools,Accept as poster,TRISTAN,1,Wednesday 26th,B-14,B,14
135,135,"Core, IP","We had 64-bit, yes. What about second 64-bit?",Mathieu,Bacou,Télécom SudParis,Hardware/software co-design;	Operating system and software ecosystem;	High-performance computing;	Cloud computing;	RISC-V ISA extensions,Accept as presentation,,1,Thursday 27th,D-04,D,04
136,136,Safety,Techniques and Tools for Fast Fault Injection Simulations of RISC-V Processors at RTL,Johannes,Geier,Technical University of Munich,Security and functional safety;	Open EDA tools;	,Accept as poster,,1,Tuesday 25th,A-10,A,10
137,137,"Methods, tools",It's simulators all the way down - the spectrum of simulation,Jon,Taylor,Synopsys,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Hardware/software co-design;	Any other topic related to RISC-V and open hardware;	Automotive;	",Declined,,,,,,
138,138,Safety,"Comparison of sensitivity to soft errors, depending on ISA extensions, for RISC-V cores VeeR EH1 and EL2 from Western Digital",Daniel,Leon,Universidad Francisco de Vitoria,RISC-V ISA extensions;	Compilation and code optimization;	Security and functional safety;	,Accept as poster,24-26,1,Tuesday 25th,A-11,A,11
139,139,Software,Device Assignment with the RISC-V IOMMU,Andrew,Jones,Ventana Micro Systems Inc.,Operating system and software ecosystem;	,Accept as poster,,1,Thursday 27th,D-01,D,01
140,140,Software,Analysis Framework for ISA Optimization,Andreas,Hager-Clukas,Hochschule München,"Compilation and code optimization;	RISC-V ISA extensions;	Hardware/software co-design;	Embedded systems, IoT, edge computing",Accept as poster,,1,Thursday 27th,D-11,D,11
141,141,Safety,Next-Gen TETRISC SoC - A Quad-Heterogeneous Design for Adaptive Fault Tolerance,Junchao,Chen,IHP GmbH - Innovations for High Performance Microelectronics,Security and functional safety;	Any other topic related to RISC-V and open hardware,Accept as poster,,1,Tuesday 25th,A-12,A,12
142,142,Security,The Performance and (Hidden) Communication Cost of Hardware Accelerators for Hash Primitives Used in Post-Quantum-Cryptography,Jonas,Schupp,"Technical University of Munich, TUM School of Computation, Information and Technology",Security and functional safety;	RISC-V ISA extensions;	Hardware/software co-design;	,Accept as poster,,1,Tuesday 25th,D-01,D,01
143,143,Other,Interoperable platform standards - overview and update,Andrei,Warkentin,Intel,Operating system and software ecosystem;	Hardware/software co-design;	Cloud computing;	,Declined,,1,,,,
144,144,Application,Combined Heat Compute: Challenges & Opportunities Through AI,Stefan,Frenzel,DME,,Reject (industry),,,,,,
145,145,Security,ACRN Hypervisor on RISC-V,Andrei,Warkentin,Intel,"Embedded systems, IoT, edge computing;	Operating system and software ecosystem;	",Declined,,1,,,,
146,146,"Core, IP",Mercek a RISC-V based Multithread - Multicore GPGPU with Texture Unit,Oğuzhan,Vatansever,TUBITAK at Turkey,"High-performance computing;	Hardware/software co-design;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Any other topic related to RISC-V and open hardware;	Cloud computing;	RISC-V ISA extensions",Declined,,,,,,
147,147,Verification,RVLint – SystemVerilog testbench lint for RISC-V,Deepa,Palaniappan,AsFigo Technologies,Verification;	RISC-V related educational activities;	Hardware/software co-design,Reject (industry),,,,,,
148,148,"Core, IP",Use of RISC-V to develop multiprocessor host subsystems for accelerated platform with In Memory computing based on NVM memories for AI inference answering functional safety requirements for industrial and automotive applications,Giulio,Urlini,STMicroelectronics,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	Compilation and code optimization;	Automotive;	Operating system and software ecosystem;	Security and functional safety;	",Accept as presentation (industry),,1,Thursday 27th,B-09,B,09
149,149,Security,Analyzing threats & detecting trojans through formal analysis in a semiconductor IP,Gulam,Ashrafi,Synopsys,"Security and functional safety;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Verification;	RISC-V related educational activities;	Open-source hardware and open silicon;	Automotive",Accept as poster (industry),,1,Tuesday 25th,D-03,D,03
150,150,Application,CVA6-Platform for RISC-V Software Development,Duncan,Bees,OpenHWGroup,Operating system and software ecosystem;	Open-source hardware and open silicon;	Hardware/software co-design;	Cloud computing;	,Accept as poster,,1,Thursday 27th,C-14,C,14
151,151,"Core, IP",How to tape-out a 64-core RISC-V SoC in under 60 days,Frank,Gurkaynak,ETH Zurich,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	Any other topic related to RISC-V and open hardware;	Open-source hardware and open silicon;	",Accept as poster,,1,Thursday 27th,C-10,C,10
152,152,Application,Convolution Neural Networks hardware acceleration for embedded solutions Leveraging simple hardware,Hugo,BABIN-RIBY,ISAE-SUPAERO,"RISC-V ISA extensions;	Any other topic related to RISC-V and open hardware;	Compilation and code optimization;	Open-source hardware and open silicon;	High-performance computing;	Embedded systems, IoT, edge computing;	",Reject,,,,,,
153,153,Application,Optimizing Chrome V8 Using RISC-V J and Customed Instruction Extension,Qiaowen,Yang,Tsinghua University,RISC-V ISA extensions;	Compilation and code optimization;	Hardware/software co-design;	,Accept as poster,,1,Thursday 27th,A-08,A,08
154,154,Verification,Towards open source RISC-V core verification with UVM and Verilator,Karol,Gugala,Antmicro,Open EDA tools;	Verification;	Open-source hardware and open silicon;	,Accept as poster (industry),,1,Wednesday 26th,A-12,A,12
155,155,"Core, IP",Optimizing Data Transport Architectures in RISC-V SoCs for AI/ML Applications,Frank,Schirrmeister,Synopsys,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety;	Embedded systems, IoT, edge computing;	Any other topic related to RISC-V and open hardware;	Automotive;	",Accept as presentation (industry),,1,Thursday 27th,B-10,B,10
156,156,"Core, IP",An Energy Efficient RISC-V based SoC Accelerator For CNN Inference,Sergio,Castillo Mohedano,Lund University,"Hardware/software co-design;	Systems-on-Chip, including processor cores, accelerators, peripherals;	High-performance computing;	Embedded systems, IoT, edge computing;	",Accept as poster,,1,Thursday 27th,B-11,B,11
157,157,Space,Instrument Control & Data Processing for high-reliable ‘New Space' instruments,Gerard,Rauwerda,Technolution,"Security and functional safety;	Any other topic related to RISC-V and open hardware;	Embedded systems, IoT, edge computing",Accept as presentation (industry),TRISTAN,1,Wednesday 26th,B-13,B,13
158,158,"Methods, tools",Surfer: A Waveform Viewer as Dynamic as RISC-V,Lucas,Klemmer,Johannes Kepler University Linz,Open EDA tools;	,Accept as poster,,1,Wednesday 26th,C-11,C,11
159,159,"Core, IP",Low-power Acceleration of CNNs using Near Memory Computing on a RISC-V SoC,Kristoffer,Westring,Lund University,"High-performance computing;	Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Hardware/software co-design;	Any other topic related to RISC-V and open hardware;	Operating system and software ecosystem;	RISC-V related educational activities;	RISC-V ISA extensions;	",Accept as poster,,1,Thursday 27th,B-12,B,12
160,160,Application,Evaluating RISC-V Efficiency and Performance with AI-Based Meteorological Inference,Daniel,Suárez,Universidad de La Laguna,"Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,,1,Thursday 27th,B-04,B,04
161,161,"Methods, tools",RISC-V Opt-VP: An Application Analysis Platform Using Bounded Execution Trees,Jan,Zielasko,"Cyber-Physical Systems, DFKI GmbH","Embedded systems, IoT, edge computing;	Hardware/software co-design",Accept as poster,,1,Wednesday 26th,C-12,C,12
162,162,Application,Accelerating Unicode Conversions using the RISC-V Vector Extension,Olaf,Bernstein,private,Compilation and code optimization;	Operating system and software ecosystem;	RISC-V ISA extensions;	Any other topic related to RISC-V and open hardware,Accept as poster,,1,Thursday 27th,A-03,A,03
163,163,Application,A Rocket Core with Radar Signal Processing Accelerators as Memory-Mapped I/O Devices,Vladimir,Milovanović,University of Kragujevac,"Automotive;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Open-source hardware and open silicon;	",Accept as poster,,1,Thursday 27th,D-02,D,02
164,164,Safety,A RISC-V-based Resilient Processing Platform for 6G Communication Networks,Marko,Andjelkovic,IHP,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing",Accept as poster,,1,Tuesday 25th,A-13,A,13
165,165,Space,"METASAT Platform: High Performance Space Processing for Institutional Missions Using Multicore, GPU and AI Accelerators",Leonidas,Kosmidis,Barcelona Supercomputing Center (BSC) and Universitat PolitÃ¨cnica de Catalunya (UPC),"Embedded systems, IoT, edge computing;	Open-source hardware and open silicon;	Hardware/software co-design;	Automotive;	Security and functional safety;	Operating system and software ecosystem;	",Accept as poster (industry),,1,Tuesday 25th,C-11,C,11
166,166,Verification,Advanced RISC-V Verification: From Random Instructions to System Integrity,David,Kelf,Breker Verification Systems,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Open EDA tools;	Verification;	",Accept as poster (industry),,1,Wednesday 26th,A-13,A,13
167,167,Security,The CHERI-RISC-V open-source ecosystem,Peter,Rugg,University of Cambridge,Security and functional safety;	RISC-V ISA extensions;	Open-source hardware and open silicon;	Verification;	Operating system and software ecosystem;	Hardware/software co-design;	,Accept as poster,,1,Tuesday 25th,D-04,D,04
168,168,"Core, IP",The BRISKI RISC-V Barrel processor for ASIC and FPGA Implementation - one Core to rule them both,Riadh,Ben Abdelhamid,Heidelberg University,"Systems-on-Chip, including processor cores, accelerators, peripherals",Accept as poster,,1,Thursday 27th,C-11,C,11
169,169,"Methods, tools",Domain Specific Acceleration with High-Level Synthesis,Russell,Klein,Siemens EDA,"Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster (industry),,1,Wednesday 26th,C-13,C,13
170,170,Software,QEMU-based CVA6 Framework for Efficient Functional Validation and Performance Evaluation,Fatma,Jebali,CEA List,Hardware/software co-design;	Open-source hardware and open silicon;	Open EDA tools;	Any other topic related to RISC-V and open hardware,Accept as poster,TRISTAN,1,Wednesday 26th,B-10,B,10
171,171,Application,RADLER: RISC-V Autonomous Driving LEvel fouR hardware/software co-design,Leonidas,Kosmidis,Barcelona Supercomputing Center (BSC) and Universitat PolitÃ¨cnica de Catalunya (UPC),"Operating system and software ecosystem;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety;	Automotive;	Embedded systems, IoT, edge computing;	Hardware/software co-design;	Open-source hardware and open silicon;	",Accept as poster,,1,Thursday 27th,D-07,D,07
172,172,"Core, IP",Empowering the Future: Unveiling Next-Generation RISC-V Devices,Yuning,Liang,DeepComputing,Security and functional safety;	Operating system and software ecosystem;	,Innovation Session (industry),,1,Thursday 27th,C-12,C,12
173,173,Application,RISC-V for HPC: Where we are and where we need to go,Nick,Brown,EPCC at the University of Edinburgh,High-performance computing;	,Accept as poster,,1,Thursday 27th,C-15,C,15
174,174,Security,Selective Cache Re-Mapping to Mitigate Cache Side Channel Attacks on RISC-V Processors,Pavitra,Bhade,Indian Institute of Technology,"Hardware/software co-design;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety;	RISC-V ISA extensions;	Embedded systems, IoT, edge computing;	RISC-V related educational activities;	",Accept as poster,,1,Tuesday 25th,D-05,D,05
175,175,Security,Wait a minute for RISC-V Cross-core cache attack on a real-world SoC,Kilian,Zinnecker,Fraunhofer AISEC,"Embedded systems, IoT, edge computing;	Security and functional safety;	RISC-V ISA extensions;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,,1,Tuesday 25th,D-06,D,06
176,176,Security,Exploring the Potential of OpenTitan as a Control-Flow Integrity Coprocessor,Emanuele,Parisi,Universita' di Bologna,"Security and functional safety;	Embedded systems, IoT, edge computing;	",Accept as poster,,1,Tuesday 25th,D-07,D,07
177,177,Security,Securing Embedded and IoT Systems with SPMP-based Virtualization,Jose,Martins,University of Minho,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Automotive;	Embedded systems, IoT, edge computing;	Operating system and software ecosystem;	RISC-V ISA extensions;	Security and functional safety;	",Accept as poster,,1,Tuesday 25th,D-08,D,08
178,178,Safety,"SentryCore: A RISC-V Co-Processor System for Safe, Real-Time Control Applications",Michael,Rogenmoser,ETH Zurich,"Security and functional safety;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Automotive;	Hardware/software co-design;	Embedded systems, IoT, edge computing;	Open-source hardware and open silicon;	",Accept as presentation,,1,Tuesday 25th,A-14,A,14
179,179,"Core, IP",RISC-V MICROCONTROLLER FOR EMBEDDED CONTROL OF QUANTUM ENTROPY SOURCES,Ismael,Perez,Quside,"Embedded systems, IoT, edge computing;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety;	",Declined,,,,,,
180,180,Security,TitanSSL: Towards Accelerating OpenSSL in a Full RISC-V Architecture Using OpenTitan,Alberto,Musa,University of Bologna,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Security and functional safety;	Open-source hardware and open silicon;	Operating system and software ecosystem;	",Accept as poster,,1,Tuesday 25th,D-09,D,09
181,181,"Core, IP",ISA Support for Hardware Resource Partitioning in RISC-V,Nils,Wistoff,ETH Zurich,"RISC-V ISA extensions;	Open-source hardware and open silicon;	Security and functional safety;	Hardware/software co-design;	Systems-on-Chip, including processor cores, accelerators, peripherals;	Automotive;	Operating system and software ecosystem;	",Accept as poster,,1,Thursday 27th,A-14,A,14
182,182,Application,Towards Neuromorphic Acceleration through Register-Streaming Extensions on RISC-V Cores,Simone,Manoni,University of Bologna,Compilation and code optimization;	RISC-V ISA extensions;	Hardware/software co-design,Accept as presentation,,1,Thursday 27th,B-05,B,05
183,183,Software,Optimizing Software for RISC-V,Nathan,Egge,Google,RISC-V ISA extensions;	Compilation and code optimization;	Operating system and software ecosystem,Accept as presentation (industry),,1,Thursday 27th,D-12,D,12
184,184,"Core, IP",Comparing CGRAs with VPUs as RISC-V Coprocessors,Daniel,Vazquez Iglesias,Universidad Politecnica de Madrid,"High-performance computing;	RISC-V ISA extensions;	Systems-on-Chip, including processor cores, accelerators, peripherals;	",Accept as poster,,1,Thursday 27th,A-05,A,05
185,185,"Methods, tools",AI-based Estimation of the RISC-V Execution Cycles of Application SW in Host-Compiled Simulation,Hector,Posadas,Universidad de Cantabria,Hardware/software co-design;	Open EDA tools,Accept as poster,,1,Wednesday 26th,C-14,C,14
186,186,"Core, IP",Accelerating AI on RISC-V: Optimizing BFloat16 for Improved Efficiency,Ruhma,Rizwan,10xEngineers,"Systems-on-Chip, including processor cores, accelerators, peripherals;	Embedded systems, IoT, edge computing;	Open-source hardware and open silicon;	",Accept as poster,,1,Thursday 27th,B-13,B,13
187,187,Safety,Hard real time is Easy!,Pawel,Dzialo,Tampere University,"Embedded systems, IoT, edge computing;	Verification;	Operating system and software ecosystem",Accept as poster,,1,Tuesday 25th,A-15,A,15
188,188,"Core, IP","Ztachip: A Multicore, Data-Aware, Embedded RISC-V AI Accelerator for Edge Inferencing",Elochukwu,Ifediora,Individual RISC-V Member,"RISC-V ISA extensions;	Embedded systems, IoT, edge computing",Accept as poster,,1,Thursday 27th,B-14,B,14
