"Submission ID","Title","Main Contact Firstname","Main Contact Lastname","Main Contact Affiliation","Acceptance Status",
"218","Embedded FPGA-Shell: Emulating RISC-V Architectures at FPGA","Sajjad","Ahmed","Barcelona Supercomputing Center","Accept as poster",
"219","The Eruption of RISC-V in HPC: Earth Sciences Codes on Long Vector Architectures","Pablo","Vizcaino","Barcelona Supercomputing Center","Accept as poster",
"220","A Unified AI Accelerator Interface for Scalable RISC-V Architectures","Fucong","Qiu","Institute of Computing Technology, Chinese Academy of Sciences","Accept as poster",
"221","OpenTitan Integrated: A RISC-V Open-Source Silicon Root-of-Trust for large SoCs","Robert","Schilling","Rivos Inc","Accept as presentation (industry)",
"222","Optimizing TLS Cryptographic Operations on RISC-V SoC with OpenTitan RoT","Alberto","Musa","University of Bologna","Accept as poster",
"223","RISC-V for HPC: An update of where we are and main action points","Nick","Brown","EPCC at the University of Edinburgh","Accept as poster",
"224","Enabling Reconfigurable High-Throughput RISC-V Systems through Barrel-Processing","Dirk","Koch","Heidelberg University","Accept as poster",
"225","XiangShan Kunminghu V2: Architectural Innovations and Ecosystem Development of an Open-Source High-Performance RISC-V Processor","Haojin","Tang","State Key Lab of Processors, Institute of Computing Technology, Chinese Academy of Sciences","Accept as poster",
"226","Call Rewinding Towards RISC-V Specification","Téo","Biton","Thales cortAIx Labs","Accept as poster",
"227","RISC-V MMU Verification of Virtualization and Hypervisor Operation for CPU and SOC Platforms","David","Kelf","Breker Verification Systems","Reject",
"228","Towards a Base-Station-on-Chip for 6G Networks: RISC-V Hardware Acceleration of the LOW PHY wireless communication kernels","Javier","Acevedo","TU Dresden","Accept as poster",
"229","Status of Fedora's RISC-V Porting Efforts","Kashyap","Chamarthy","Red Hat","Accept as poster",
"231","Developing RISC-V Cores with Python","Rob","Taylor","ChipFlow","Accept as poster",
"232","Enabling High Performance RISC-V Software for AI in the Real World","Max","Brunton","Codeplay","Accept as poster",
"235","Building the RISC-V Education Ecosystem: A Systematic Educational Contents Design, Remote Laboratories, and Community-Driven Learning","Yunxiang","Luo","The Institute of Software, Chinese Academy of Sciences (ISCAS)","Accept as poster",
"236","Fast and fine-grained compartmentalisation in CHERI","Franz","Fuchs","University of Cambridge","Undecided",
