day,blocktime,blocktitle,type,extra,time,name,title,abstract,bio,video,slides
thu,10:00-10:15,Industry Talk,technical,,10:00,"Wei-han Lien, Tenstorrent",A high-fidelity flow for high-performance RISC-V CPU design from scratch,,,,
thu,10:15-10:30,Technical Talk,technical,,10:15,David Mallasén Quintana (Universidad Complutense De Madrid),PERCIVAL: Integrating Posit and Quire Arithmetic into the RISC-V Ecosystem,,,,
thu,10:30-11:30,"Break, Booths & Posters",break,,,,Exhibition / Poster Sessions ,,,,
thu,11:30-12:00 ,Keynote,keynote,,11:30,"Alex Bradbury, Igalia",Developments in LLVM-based toolchains and tooling for RISC-V,,,,
thu,12:00-12:30,Technical Talks,technical,,12:00,"Stanislaw Kaushanski, MINRES GmbH",Automated Cross-level Verification Flow of a Highly Configurable RISC-V Core Family with Custom Instructions,,,,
thu,12:00-12:30,Technical Talks,technical,,12:15,"Andrei Warkentin, Intel",Multi-ISA Firmware Compatibility - Bringing RISC-V and IHV Ecosystems Together,,,,
thu,12:30-14:00,"Lunch, Booths & Posters ",break,,,,Exhibition / Poster Sessions ,,,,
thu,14:00-14:30,Keynote,keynote,,14:00,"Roland Weigand, European Space Agency (ESA)",RISC-V: a Rising Star in Space,,,,
thu,14:30-15:30,Technical Talks,technical,,14:30,"Luca Lingardo, NXP",Implementation of an Edge-Computing architecture based on a RISC-V core for RFID communication,,,,
thu,14:30-15:30,Technical Talks,technical,,14:45,"Guy Lemieux, University Of British Columbia",From CCX to CIX: A Modest Proposal for (Custom) Composable Instruction eXtensions,,,,
thu,14:30-15:30,Technical Talks,technical,,15:00,"Tariq Kurd, Codasip",RISC-V code-size reduction with Zc extensions and dictionary compression custom instruction,,,,
thu,14:30-15:30,Technical Talks,technical,,15:15,"Andrei Ivanov, ETH Zürich",RIVETS: An Efficient Training and Inference Library for RISC-V with Snitch Extensions,,,,
thu,15:30-16:30,"Break, Booths & Posters",break,,,,Exhibition / Poster Sessions ,,,,
thu,16:30-17:45,Technical Talks,technical,,16:30,"Gregory Chadwick, lowRISC",Building commercially relevant open source silicon: The many aspects of Ibex,,,,
thu,16:30-17:45,Technical Talks,technical,,16:45,"Marton Bognar, imec-DistriNet, KU Leuven",Proteus: An Extensible RISC-V Core for Hardware Extensions,,,,
thu,16:30-17:45,Technical Talks,technical,,17:00,"Thomas Benz, ETH Zürich",Puma: An End-to-End Open-Source Linux-capable RISC-V SoC in 130nm CMOS,,,,
thu,16:30-17:45,Technical Talks,technical,,17:15,"Bruno Sá, University Of Minho",RISC-V Virtualization: A Case Study on the CVA6,,,,
thu,16:30-17:45,Technical Talks,technical,,17:30,"Yifei Zhu, Rios Lab, Tsinghua-berkeley Shenzhen Institute, Tsinghua University",GreenRio: A Linux-Compatible RISC-V Processor Designed for Open-Source EDA Implementations,,,,
thu,17:45-18:00,Closing,keynote,,,"Calista Redmond, RISC-V International & Christian Fabre, CEA & more…",Closing & Announcements,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
thu,,,,,,,,,,,
